Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Dalvin Cook (15862553),Dalvin Cook,15862553,RB/FLEX,9500,JAX@MIN 12/06/2020 01:00PM ET,MIN,26.95
RB,Derrick Henry (15862555),Derrick Henry,15862555,RB/FLEX,9200,CLE@TEN 12/06/2020 01:00PM ET,TEN,22
WR,Davante Adams (15862805),Davante Adams,15862805,WR/FLEX,9000,PHI@GB 12/06/2020 04:25PM ET,GB,26.87
WR,DK Metcalf (15862807),DK Metcalf,15862807,WR/FLEX,8200,NYG@SEA 12/06/2020 04:05PM ET,SEA,20.9
WR,Keenan Allen (15862809),Keenan Allen,15862809,WR/FLEX,8100,NE@LAC 12/06/2020 04:25PM ET,LAC,20.59
WR,DeAndre Hopkins (15862811),DeAndre Hopkins,15862811,WR/FLEX,7800,LAR@ARI 12/06/2020 04:05PM ET,ARI,19.24
RB,Nick Chubb (15862557),Nick Chubb,15862557,RB/FLEX,7700,CLE@TEN 12/06/2020 01:00PM ET,CLE,18.97
QB,Russell Wilson (15862487),Russell Wilson,15862487,QB,7700,NYG@SEA 12/06/2020 04:05PM ET,SEA,27.32
WR,A.J. Brown (15862813),A.J. Brown,15862813,WR/FLEX,7600,CLE@TEN 12/06/2020 01:00PM ET,TEN,18.2
QB,Kyler Murray (15862488),Kyler Murray,15862488,QB,7600,LAR@ARI 12/06/2020 04:05PM ET,ARI,28.32
QB,Deshaun Watson (15862489),Deshaun Watson,15862489,QB,7500,IND@HOU 12/06/2020 01:00PM ET,HOU,25.48
RB,Josh Jacobs (15862559),Josh Jacobs,15862559,RB/FLEX,7400,LV@NYJ 12/06/2020 01:00PM ET,LV,16.43
WR,Tyler Lockett (15862815),Tyler Lockett,15862815,WR/FLEX,7400,NYG@SEA 12/06/2020 04:05PM ET,SEA,18.28
RB,James Robinson (15862561),James Robinson,15862561,RB/FLEX,7300,JAX@MIN 12/06/2020 01:00PM ET,JAX,19.46
WR,Adam Thielen (15862817),Adam Thielen,15862817,WR/FLEX,7300,JAX@MIN 12/06/2020 01:00PM ET,MIN,19.21
RB,Aaron Jones (15862563),Aaron Jones,15862563,RB/FLEX,7200,PHI@GB 12/06/2020 04:25PM ET,GB,19.17
WR,Calvin Ridley (15862819),Calvin Ridley,15862819,WR/FLEX,7200,NO@ATL 12/06/2020 01:00PM ET,ATL,19.11
WR,Will Fuller V (15862821),Will Fuller V,15862821,WR/FLEX,7100,IND@HOU 12/06/2020 01:00PM ET,HOU,18.54
RB,Austin Ekeler (15862565),Austin Ekeler,15862565,RB/FLEX,7100,NE@LAC 12/06/2020 04:25PM ET,LAC,17.22
RB,Alvin Kamara (15862567),Alvin Kamara,15862567,RB/FLEX,7000,NO@ATL 12/06/2020 01:00PM ET,NO,24.19
