Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (15560280),Christian McCaffrey,15560280,RB/FLEX,8600,CAR@ATL 10/11/2020 01:00PM ET,CAR,26.65
WR,DeAndre Hopkins (15560510),DeAndre Hopkins,15560510,WR/FLEX,7900,ARI@NYJ 10/11/2020 01:00PM ET,ARI,22.68
QB,Lamar Jackson (15560217),Lamar Jackson,15560217,QB,7900,CIN@BAL 10/11/2020 01:00PM ET,BAL,21.56
RB,Ezekiel Elliott (15560282),Ezekiel Elliott,15560282,RB/FLEX,7800,NYG@DAL 10/11/2020 04:25PM ET,DAL,22.55
QB,Patrick Mahomes (15560218),Patrick Mahomes,15560218,QB,7700,LV@KC 10/11/2020 01:00PM ET,KC,28.54
WR,Calvin Ridley (15560512),Calvin Ridley,15560512,WR/FLEX,7500,CAR@ATL 10/11/2020 01:00PM ET,ATL,22.38
QB,Josh Allen (15560219),Josh Allen,15560219,QB,7500,BUF@TEN 10/11/2020 01:00PM ET,BUF,33.08
QB,Dak Prescott (15560220),Dak Prescott,15560220,QB,7400,NYG@DAL 10/11/2020 04:25PM ET,DAL,34.3
WR,Amari Cooper (15560514),Amari Cooper,15560514,WR/FLEX,7400,NYG@DAL 10/11/2020 04:25PM ET,DAL,22.78
QB,Kyler Murray (15560221),Kyler Murray,15560221,QB,7200,ARI@NYJ 10/11/2020 01:00PM ET,ARI,27.32
RB,Derrick Henry (15560284),Derrick Henry,15560284,RB/FLEX,7000,BUF@TEN 10/11/2020 01:00PM ET,TEN,19.17
WR,Stefon Diggs (15560516),Stefon Diggs,15560516,WR/FLEX,7000,BUF@TEN 10/11/2020 01:00PM ET,BUF,21.08
RB,James Conner (15560286),James Conner,15560286,RB/FLEX,6900,PHI@PIT 10/11/2020 01:00PM ET,PIT,18.23
QB,Deshaun Watson (15560222),Deshaun Watson,15560222,QB,6900,JAX@HOU 10/11/2020 01:00PM ET,HOU,19.87
WR,Tyreek Hill (15560518),Tyreek Hill,15560518,WR/FLEX,6900,LV@KC 10/11/2020 01:00PM ET,KC,18.75
WR,Julio Jones (15560520),Julio Jones,15560520,WR/FLEX,6800,CAR@ATL 10/11/2020 01:00PM ET,ATL,13.1
RB,Clyde Edwards-Helaire (15560288),Clyde Edwards-Helaire,15560288,RB/FLEX,6800,LV@KC 10/11/2020 01:00PM ET,KC,16.58
WR,JuJu Smith-Schuster (15560522),JuJu Smith-Schuster,15560522,WR/FLEX,6700,PHI@PIT 10/11/2020 01:00PM ET,PIT,17.67
RB,James Robinson (15560290),James Robinson,15560290,RB/FLEX,6700,JAX@HOU 10/11/2020 01:00PM ET,JAX,19.9
QB,Ben Roethlisberger (15560223),Ben Roethlisberger,15560223,QB,6600,PHI@PIT 10/11/2020 01:00PM ET,PIT,21.16
WR,Will Fuller V (15560524),Will Fuller V,15560524,WR/FLEX,6600,JAX@HOU 10/11/2020 01:00PM ET,HOU,15.85
TE,George Kittle (15560848),George Kittle,15560848,TE/FLEX,6600,MIA@SF 10/11/2020 04:05PM ET,SF,26.2
QB,Jared Goff (15560224),Jared Goff,15560224,QB,6500,LAR@WAS 10/11/2020 01:00PM ET,LAR,19.60
WR,Cooper Kupp (15560528),Cooper Kupp,15560528,WR/FLEX,6500,LAR@WAS 10/11/2020 01:00PM ET,LAR,17.1
RB,Miles Sanders (15560292),Miles Sanders,15560292,RB/FLEX,6500,PHI@PIT 10/11/2020 01:00PM ET,PHI,15.13
WR,DJ Chark Jr. (15560526),DJ Chark Jr.,15560526,WR/FLEX,6500,JAX@HOU 10/11/2020 01:00PM ET,JAX,17.8
RB,Nick Chubb (15560294),Nick Chubb,15560294,RB/FLEX,6500,IND@CLE 10/11/2020 04:25PM ET,CLE,16.8
RB,Kareem Hunt (15560296),Kareem Hunt,15560296,RB/FLEX,6500,IND@CLE 10/11/2020 04:25PM ET,CLE,17.42
RB,Melvin Gordon III (15560298),Melvin Gordon III,15560298,RB/FLEX,6400,DEN@NE 10/11/2020 04:25PM ET,DEN,17.4
RB,Mike Davis (15560300),Mike Davis,15560300,RB/FLEX,6400,CAR@ATL 10/11/2020 01:00PM ET,CAR,15.18
WR,Robert Woods (15560532),Robert Woods,15560532,WR/FLEX,6400,LAR@WAS 10/11/2020 01:00PM ET,LAR,15.82
TE,Travis Kelce (15560850),Travis Kelce,15560850,TE/FLEX,6400,LV@KC 10/11/2020 01:00PM ET,KC,16.42
WR,Odell Beckham Jr. (15560530),Odell Beckham Jr.,15560530,WR/FLEX,6400,IND@CLE 10/11/2020 04:25PM ET,CLE,17.72
RB,Joe Mixon (15560302),Joe Mixon,15560302,RB/FLEX,6300,CIN@BAL 10/11/2020 01:00PM ET,CIN,18.32
WR,Marquise Brown (15560534),Marquise Brown,15560534,WR/FLEX,6300,CIN@BAL 10/11/2020 01:00PM ET,BAL,10.8
RB,Josh Jacobs (15560304),Josh Jacobs,15560304,RB/FLEX,6300,LV@KC 10/11/2020 01:00PM ET,LV,17.5
WR,Tyler Boyd (15560536),Tyler Boyd,15560536,WR/FLEX,6200,CIN@BAL 10/11/2020 01:00PM ET,CIN,17.35
TE,Mark Andrews (15560852),Mark Andrews,15560852,TE/FLEX,6200,CIN@BAL 10/11/2020 01:00PM ET,BAL,13.15
QB,Gardner Minshew II (15560225),Gardner Minshew II,15560225,QB,6200,JAX@HOU 10/11/2020 01:00PM ET,JAX,21.36
RB,Jonathan Taylor (15560306),Jonathan Taylor,15560306,RB/FLEX,6200,IND@CLE 10/11/2020 04:25PM ET,IND,14.75
QB,Matt Ryan (15560226),Matt Ryan,15560226,QB,6100,CAR@ATL 10/11/2020 01:00PM ET,ATL,20.31
WR,Terry McLaurin (15560538),Terry McLaurin,15560538,WR/FLEX,6100,LAR@WAS 10/11/2020 01:00PM ET,WAS,19.25
RB,Raheem Mostert (15560308),Raheem Mostert,15560308,RB/FLEX,6100,MIA@SF 10/11/2020 04:05PM ET,SF,21.9
WR,DJ Moore (15560542),DJ Moore,15560542,WR/FLEX,6000,CAR@ATL 10/11/2020 01:00PM ET,CAR,12.45
QB,Ryan Tannehill (15560228),Ryan Tannehill,15560228,QB,6000,BUF@TEN 10/11/2020 01:00PM ET,TEN,20.95
QB,Joe Burrow (15560227),Joe Burrow,15560227,QB,6000,CIN@BAL 10/11/2020 01:00PM ET,CIN,22.08
