Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (15033483),Christian McCaffrey,15033483,RB/FLEX,10000,LV@CAR 09/13/2020 01:00PM ET,CAR,30.95
WR,Michael Thomas (15033799),Michael Thomas,15033799,WR/FLEX,9000,TB@NO 09/13/2020 04:25PM ET,NO,24.62
QB,Lamar Jackson (15033397),Lamar Jackson,15033397,QB,8100,CLE@BAL 09/13/2020 01:00PM ET,BAL,29.85
RB,Dalvin Cook (15033485),Dalvin Cook,15033485,RB/FLEX,7900,GB@MIN 09/13/2020 01:00PM ET,MIN,21.62
WR,Julio Jones (15033801),Julio Jones,15033801,WR/FLEX,7700,SEA@ATL 09/13/2020 01:00PM ET,ATL,19.47
WR,Davante Adams (15033803),Davante Adams,15033803,WR/FLEX,7300,GB@MIN 09/13/2020 01:00PM ET,GB,20.96
RB,Alvin Kamara (15033487),Alvin Kamara,15033487,RB/FLEX,7200,TB@NO 09/13/2020 04:25PM ET,NO,17.94
TE,George Kittle (15034307),George Kittle,15034307,TE/FLEX,7200,ARI@SF 09/13/2020 04:25PM ET,SF,14.51
WR,Chris Godwin (15033805),Chris Godwin,15033805,WR/FLEX,7100,TB@NO 09/13/2020 04:25PM ET,TB,21.01
QB,Russell Wilson (15033398),Russell Wilson,15033398,QB,7000,SEA@ATL 09/13/2020 01:00PM ET,SEA,21.70
RB,Austin Ekeler (15033489),Austin Ekeler,15033489,RB/FLEX,7000,LAC@CIN 09/13/2020 04:05PM ET,LAC,20.19
WR,Mike Evans (15033807),Mike Evans,15033807,WR/FLEX,6900,TB@NO 09/13/2020 04:25PM ET,TB,18.59
RB,Aaron Jones (15033491),Aaron Jones,15033491,RB/FLEX,6900,GB@MIN 09/13/2020 01:00PM ET,GB,21.09
QB,Drew Brees (15033399),Drew Brees,15033399,QB,6800,TB@NO 09/13/2020 04:25PM ET,NO,21.22
RB,Josh Jacobs (15033493),Josh Jacobs,15033493,RB/FLEX,6800,LV@CAR 09/13/2020 01:00PM ET,LV,15.97
WR,DeAndre Hopkins (15033809),DeAndre Hopkins,15033809,WR/FLEX,6800,ARI@SF 09/13/2020 04:25PM ET,ARI,19.08
QB,Matt Ryan (15033400),Matt Ryan,15033400,QB,6700,SEA@ATL 09/13/2020 01:00PM ET,ATL,21.29
WR,Adam Thielen (15033811),Adam Thielen,15033811,WR/FLEX,6700,GB@MIN 09/13/2020 01:00PM ET,MIN,12.47
RB,Joe Mixon (15033495),Joe Mixon,15033495,RB/FLEX,6700,LAC@CIN 09/13/2020 04:05PM ET,CIN,14.84
WR,DJ Moore (15033813),DJ Moore,15033813,WR/FLEX,6600,LV@CAR 09/13/2020 01:00PM ET,CAR,16.23
WR,Allen Robinson II (15033815),Allen Robinson II,15033815,WR/FLEX,6500,CHI@DET 09/13/2020 01:00PM ET,CHI,16.49
QB,Tom Brady (15033402),Tom Brady,15033402,QB,6500,TB@NO 09/13/2020 04:25PM ET,TB,17.36
WR,Tyler Lockett (15033817),Tyler Lockett,15033817,WR/FLEX,6500,SEA@ATL 09/13/2020 01:00PM ET,SEA,16.06
RB,Nick Chubb (15033497),Nick Chubb,15033497,RB/FLEX,6500,CLE@BAL 09/13/2020 01:00PM ET,CLE,17.45
QB,Josh Allen (15033401),Josh Allen,15033401,QB,6500,NYJ@BUF 09/13/2020 01:00PM ET,BUF,19.35
WR,Stefon Diggs (15033821),Stefon Diggs,15033821,WR/FLEX,6400,NYJ@BUF 09/13/2020 01:00PM ET,BUF,14.62
WR,Keenan Allen (15033819),Keenan Allen,15033819,WR/FLEX,6400,LAC@CIN 09/13/2020 04:05PM ET,LAC,16.72
QB,Kyler Murray (15033403),Kyler Murray,15033403,QB,6400,ARI@SF 09/13/2020 04:25PM ET,ARI,19.64
RB,Kenyan Drake (15033499),Kenyan Drake,15033499,RB/FLEX,6400,ARI@SF 09/13/2020 04:25PM ET,ARI,16.01
QB,Carson Wentz (15033405),Carson Wentz,15033405,QB,6300,PHI@WAS 09/13/2020 01:00PM ET,PHI,17.94
RB,Miles Sanders (15033501),Miles Sanders,15033501,RB/FLEX,6300,PHI@WAS 09/13/2020 01:00PM ET,PHI,13.73
QB,Aaron Rodgers (15033404),Aaron Rodgers,15033404,QB,6300,GB@MIN 09/13/2020 01:00PM ET,GB,18.81
WR,DJ Chark Jr. (15033823),DJ Chark Jr.,15033823,WR/FLEX,6300,IND@JAX 09/13/2020 01:00PM ET,JAX,15.65
QB,Matthew Stafford (15033406),Matthew Stafford,15033406,QB,6200,CHI@DET 09/13/2020 01:00PM ET,DET,23.32
WR,Kenny Golladay (15033825),Kenny Golladay,15033825,WR/FLEX,6200,CHI@DET 09/13/2020 01:00PM ET,DET,16.5
RB,Chris Carson (15033503),Chris Carson,15033503,RB/FLEX,6200,SEA@ATL 09/13/2020 01:00PM ET,SEA,16.97
QB,Cam Newton (15033407),Cam Newton,15033407,QB,6100,MIA@NE 09/13/2020 01:00PM ET,NE,11.34
RB,Todd Gurley II (15033505),Todd Gurley II,15033505,RB/FLEX,6100,SEA@ATL 09/13/2020 01:00PM ET,ATL,14.76
WR,Calvin Ridley (15033827),Calvin Ridley,15033827,WR/FLEX,6100,SEA@ATL 09/13/2020 01:00PM ET,ATL,15.62
WR,Tyler Boyd (15033829),Tyler Boyd,15033829,WR/FLEX,6100,LAC@CIN 09/13/2020 04:05PM ET,CIN,14.81
RB,James White (15033509),James White,15033509,RB/FLEX,6000,MIA@NE 09/13/2020 01:00PM ET,NE,13.3
WR,Julian Edelman (15033831),Julian Edelman,15033831,WR/FLEX,6000,MIA@NE 09/13/2020 01:00PM ET,NE,16.44
WR,DeVante Parker (15033833),DeVante Parker,15033833,WR/FLEX,6000,MIA@NE 09/13/2020 01:00PM ET,MIA,16.14
QB,Philip Rivers (15033408),Philip Rivers,15033408,QB,6000,IND@JAX 09/13/2020 01:00PM ET,IND,17.66
RB,Leonard Fournette (15033507),Leonard Fournette,15033507,RB/FLEX,6000,IND@JAX 09/13/2020 01:00PM ET,JAX,17.96
TE,Mark Andrews (15034309),Mark Andrews,15034309,TE/FLEX,6000,CLE@BAL 09/13/2020 01:00PM ET,BAL,13.88
RB,David Montgomery (15033511),David Montgomery,15033511,RB/FLEX,5900,CHI@DET 09/13/2020 01:00PM ET,CHI,11.15
WR,Odell Beckham Jr. (15033835),Odell Beckham Jr.,15033835,WR/FLEX,5900,CLE@BAL 09/13/2020 01:00PM ET,CLE,13.02
WR,Jarvis Landry (15033837),Jarvis Landry,15033837,WR/FLEX,5900,CLE@BAL 09/13/2020 01:00PM ET,CLE,15.21
QB,Teddy Bridgewater (15033409),Teddy Bridgewater,15033409,QB,5900,LV@CAR 09/13/2020 01:00PM ET,CAR,10.61
QB,Derek Carr (15033410),Derek Carr,15033410,QB,5900,LV@CAR 09/13/2020 01:00PM ET,LV,16.15
TE,Darren Waller (15034311),Darren Waller,15034311,TE/FLEX,5900,LV@CAR 09/13/2020 01:00PM ET,LV,14.81
