Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Bears  (15677819),Bears ,15677819,DST,2800,NO@CHI 11/01/2020 04:25PM ET,CHI,7
TE,Ryan Griffin (15677681),Ryan Griffin,15677681,TE/FLEX,2800,NYJ@KC 11/01/2020 01:00PM ET,NYJ,1.54
TE,Will Dissly (15677679),Will Dissly,15677679,TE/FLEX,2800,SF@SEA 11/01/2020 04:25PM ET,SEA,4.23
DST,49ers  (15677820),49ers ,15677820,DST,2700,SF@SEA 11/01/2020 04:25PM ET,SF,6.71
DST,Browns  (15677821),Browns ,15677821,DST,2600,LV@CLE 11/01/2020 01:00PM ET,CLE,6.29
TE,Noah Togiai (15677797),Noah Togiai,15677797,TE/FLEX,2500,IND@DET 11/01/2020 01:00PM ET,IND,0
TE,Jesse James (15677799),Jesse James,15677799,TE/FLEX,2500,IND@DET 11/01/2020 01:00PM ET,DET,3.44
TE,Isaac Nauta (15677801),Isaac Nauta,15677801,TE/FLEX,2500,IND@DET 11/01/2020 01:00PM ET,DET,1.3
TE,Hunter Bryant (15677803),Hunter Bryant,15677803,TE/FLEX,2500,IND@DET 11/01/2020 01:00PM ET,DET,0
DST,Lions  (15677822),Lions ,15677822,DST,2500,IND@DET 11/01/2020 01:00PM ET,DET,2.5
TE,Nick Vannett (15677689),Nick Vannett,15677689,TE/FLEX,2500,LAC@DEN 11/01/2020 04:05PM ET,DEN,1.66
TE,Jake Butt (15677693),Jake Butt,15677693,TE/FLEX,2500,LAC@DEN 11/01/2020 04:05PM ET,DEN,0.62
TE,Stephen Anderson (15677791),Stephen Anderson,15677791,TE/FLEX,2500,LAC@DEN 11/01/2020 04:05PM ET,LAC,0
TE,Austin Fort (15677793),Austin Fort,15677793,TE/FLEX,2500,LAC@DEN 11/01/2020 04:05PM ET,DEN,0
TE,Andrew Beck (15677795),Andrew Beck,15677795,TE/FLEX,2500,LAC@DEN 11/01/2020 04:05PM ET,DEN,0
