Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (15512491),Christian McCaffrey,15512491,RB/FLEX,8800,ARI@CAR 10/04/2020 01:00PM ET,CAR,26.65
WR,DeAndre Hopkins (15512739),DeAndre Hopkins,15512739,WR/FLEX,8500,ARI@CAR 10/04/2020 01:00PM ET,ARI,26.53
QB,Lamar Jackson (15512425),Lamar Jackson,15512425,QB,8100,BAL@WAS 10/04/2020 01:00PM ET,BAL,20.08
RB,Alvin Kamara (15512493),Alvin Kamara,15512493,RB/FLEX,8000,NO@DET 10/04/2020 01:00PM ET,NO,36.6
QB,Russell Wilson (15512426),Russell Wilson,15512426,QB,7800,SEA@MIA 10/04/2020 01:00PM ET,SEA,36.33
RB,Ezekiel Elliott (15512495),Ezekiel Elliott,15512495,RB/FLEX,7800,CLE@DAL 10/04/2020 01:00PM ET,DAL,22.9
WR,Michael Thomas (15512741),Michael Thomas,15512741,WR/FLEX,7600,NO@DET 10/04/2020 01:00PM ET,NO,4.7
RB,Dalvin Cook (15512497),Dalvin Cook,15512497,RB/FLEX,7600,MIN@HOU 10/04/2020 01:00PM ET,MIN,22.93
RB,Derrick Henry (15512499),Derrick Henry,15512499,RB/FLEX,7400,PIT@TEN 10/04/2020 01:00PM ET,TEN,19.17
QB,Patrick Mahomes (15512427),Patrick Mahomes,15512427,QB,7400,NE@KC 10/04/2020 04:25PM ET,KC,31.31
QB,Josh Allen (15512428),Josh Allen,15512428,QB,7300,BUF@LV 10/04/2020 04:25PM ET,BUF,35.64
QB,Dak Prescott (15512429),Dak Prescott,15512429,QB,7200,CLE@DAL 10/04/2020 01:00PM ET,DAL,31.64
RB,Austin Ekeler (15512501),Austin Ekeler,15512501,RB/FLEX,7100,LAC@TB 10/04/2020 01:00PM ET,LAC,19.93
QB,Kyler Murray (15512430),Kyler Murray,15512430,QB,7000,ARI@CAR 10/04/2020 01:00PM ET,ARI,28.38
WR,Tyler Lockett (15512743),Tyler Lockett,15512743,WR/FLEX,7000,SEA@MIA 10/04/2020 01:00PM ET,SEA,25.63
RB,Nick Chubb (15512503),Nick Chubb,15512503,RB/FLEX,7000,CLE@DAL 10/04/2020 01:00PM ET,CLE,20.97
RB,James Conner (15512505),James Conner,15512505,RB/FLEX,6900,PIT@TEN 10/04/2020 01:00PM ET,PIT,18.23
WR,Tyreek Hill (15512745),Tyreek Hill,15512745,WR/FLEX,6900,NE@KC 10/04/2020 04:25PM ET,KC,19.53
WR,DK Metcalf (15512747),DK Metcalf,15512747,WR/FLEX,6800,SEA@MIA 10/04/2020 01:00PM ET,SEA,20.57
RB,Josh Jacobs (15512507),Josh Jacobs,15512507,RB/FLEX,6800,BUF@LV 10/04/2020 04:25PM ET,LV,19.9
WR,Stefon Diggs (15512749),Stefon Diggs,15512749,WR/FLEX,6800,BUF@LV 10/04/2020 04:25PM ET,BUF,21.27
TE,Travis Kelce (15513093),Travis Kelce,15513093,TE/FLEX,6800,NE@KC 10/04/2020 04:25PM ET,KC,18.57
WR,Allen Robinson II (15512753),Allen Robinson II,15512753,WR/FLEX,6700,IND@CHI 10/04/2020 01:00PM ET,CHI,16.63
WR,Amari Cooper (15512755),Amari Cooper,15512755,WR/FLEX,6700,CLE@DAL 10/04/2020 01:00PM ET,DAL,18.23
QB,Jared Goff (15512431),Jared Goff,15512431,QB,6700,NYG@LAR 10/04/2020 04:05PM ET,LAR,22.24
WR,Cooper Kupp (15512751),Cooper Kupp,15512751,WR/FLEX,6700,NYG@LAR 10/04/2020 04:05PM ET,LAR,16.9
RB,Jonathan Taylor (15512509),Jonathan Taylor,15512509,RB/FLEX,6600,IND@CHI 10/04/2020 01:00PM ET,IND,16.7
WR,JuJu Smith-Schuster (15512757),JuJu Smith-Schuster,15512757,WR/FLEX,6600,PIT@TEN 10/04/2020 01:00PM ET,PIT,17.67
QB,Deshaun Watson (15512432),Deshaun Watson,15512432,QB,6600,MIN@HOU 10/04/2020 01:00PM ET,HOU,18.53
WR,Adam Thielen (15512759),Adam Thielen,15512759,WR/FLEX,6600,MIN@HOU 10/04/2020 01:00PM ET,MIN,17.47
QB,Ben Roethlisberger (15512433),Ben Roethlisberger,15512433,QB,6500,PIT@TEN 10/04/2020 01:00PM ET,PIT,21.16
