Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (15783338),Christian McCaffrey,15783338,RB/FLEX,9400,DET@CAR 11/22/2020 01:00PM ET,CAR,30.13
RB,Alvin Kamara (15783340),Alvin Kamara,15783340,RB/FLEX,9200,ATL@NO 11/22/2020 01:00PM ET,NO,27.71
RB,Dalvin Cook (15783342),Dalvin Cook,15783342,RB/FLEX,9000,DAL@MIN 11/22/2020 04:25PM ET,MIN,28.66
WR,Davante Adams (15783560),Davante Adams,15783560,WR/FLEX,8600,GB@IND 11/22/2020 04:25PM ET,GB,28.16
RB,Derrick Henry (15783344),Derrick Henry,15783344,RB/FLEX,8000,TEN@BAL 11/22/2020 01:00PM ET,TEN,19.7
WR,Julio Jones (15783562),Julio Jones,15783562,WR/FLEX,7500,ATL@NO 11/22/2020 01:00PM ET,ATL,19.11
WR,Keenan Allen (15783564),Keenan Allen,15783564,WR/FLEX,7400,NYJ@LAC 11/22/2020 04:05PM ET,LAC,19.11
WR,Michael Thomas (15783566),Michael Thomas,15783566,WR/FLEX,7300,ATL@NO 11/22/2020 01:00PM ET,NO,6.5
QB,Lamar Jackson (15783277),Lamar Jackson,15783277,QB,7300,TEN@BAL 11/22/2020 01:00PM ET,BAL,21.32
RB,Aaron Jones (15783346),Aaron Jones,15783346,RB/FLEX,7200,GB@IND 11/22/2020 04:25PM ET,GB,20.77
WR,A.J. Brown (15783568),A.J. Brown,15783568,WR/FLEX,7200,TEN@BAL 11/22/2020 01:00PM ET,TEN,17.4
WR,Calvin Ridley (15783570),Calvin Ridley,15783570,WR/FLEX,7000,ATL@NO 11/22/2020 01:00PM ET,ATL,20.01
RB,Nick Chubb (15783348),Nick Chubb,15783348,RB/FLEX,7000,PHI@CLE 11/22/2020 01:00PM ET,CLE,17.76
QB,Aaron Rodgers (15783278),Aaron Rodgers,15783278,QB,7000,GB@IND 11/22/2020 04:25PM ET,GB,25.34
RB,Miles Sanders (15783350),Miles Sanders,15783350,RB/FLEX,6900,PHI@CLE 11/22/2020 01:00PM ET,PHI,16.33
WR,Terry McLaurin (15783572),Terry McLaurin,15783572,WR/FLEX,6900,CIN@WAS 11/22/2020 01:00PM ET,WAS,18.3
RB,Mike Davis (15783352),Mike Davis,15783352,RB/FLEX,6800,DET@CAR 11/22/2020 01:00PM ET,CAR,13.75
QB,Justin Herbert (15783279),Justin Herbert,15783279,QB,6800,NYJ@LAC 11/22/2020 04:05PM ET,LAC,26.24
RB,Kareem Hunt (15783354),Kareem Hunt,15783354,RB/FLEX,6700,PHI@CLE 11/22/2020 01:00PM ET,CLE,15.93
QB,Ben Roethlisberger (15783280),Ben Roethlisberger,15783280,QB,6700,PIT@JAX 11/22/2020 01:00PM ET,PIT,20.79
QB,Drew Brees (15783281),Drew Brees,15783281,QB,6600,ATL@NO 11/22/2020 01:00PM ET,NO,19.22
RB,James Conner (15783356),James Conner,15783356,RB/FLEX,6600,PIT@JAX 11/22/2020 01:00PM ET,PIT,14.46
QB,Deshaun Watson (15783282),Deshaun Watson,15783282,QB,6500,NE@HOU 11/22/2020 01:00PM ET,HOU,23.32
RB,Ezekiel Elliott (15783358),Ezekiel Elliott,15783358,RB/FLEX,6500,DAL@MIN 11/22/2020 04:25PM ET,DAL,16.78
QB,Teddy Bridgewater (15783283),Teddy Bridgewater,15783283,QB,6400,DET@CAR 11/22/2020 01:00PM ET,CAR,19.47
RB,D'Andre Swift (15783362),D'Andre Swift,15783362,RB/FLEX,6400,DET@CAR 11/22/2020 01:00PM ET,DET,14.51
RB,James Robinson (15783360),James Robinson,15783360,RB/FLEX,6400,PIT@JAX 11/22/2020 01:00PM ET,JAX,19.19
