Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Dalvin Cook (15819822),Dalvin Cook,15819822,RB/FLEX,9500,CAR@MIN 11/29/2020 01:00PM ET,MIN,28.7
RB,Christian McCaffrey (15819824),Christian McCaffrey,15819824,RB/FLEX,9200,CAR@MIN 11/29/2020 01:00PM ET,CAR,30.13
QB,Kyler Murray (15819763),Kyler Murray,15819763,QB,8200,ARI@NE 11/29/2020 01:00PM ET,ARI,30.27
RB,Alvin Kamara (15819826),Alvin Kamara,15819826,RB/FLEX,8200,NO@DEN 11/29/2020 04:05PM ET,NO,25.99
WR,DeAndre Hopkins (15820050),DeAndre Hopkins,15820050,WR/FLEX,8100,ARI@NE 11/29/2020 01:00PM ET,ARI,20.12
WR,Keenan Allen (15820052),Keenan Allen,15820052,WR/FLEX,8000,LAC@BUF 11/29/2020 01:00PM ET,LAC,21.05
QB,Patrick Mahomes (15819764),Patrick Mahomes,15819764,QB,8000,KC@TB 11/29/2020 04:25PM ET,KC,28.01
RB,Derrick Henry (15819828),Derrick Henry,15819828,RB/FLEX,7900,TEN@IND 11/29/2020 01:00PM ET,TEN,20.05
WR,Tyreek Hill (15820054),Tyreek Hill,15820054,WR/FLEX,7800,KC@TB 11/29/2020 04:25PM ET,KC,20.82
QB,Josh Allen (15819765),Josh Allen,15819765,QB,7600,LAC@BUF 11/29/2020 01:00PM ET,BUF,26.89
WR,Stefon Diggs (15820056),Stefon Diggs,15820056,WR/FLEX,7600,LAC@BUF 11/29/2020 01:00PM ET,BUF,19.96
WR,Michael Thomas (15820058),Michael Thomas,15820058,WR/FLEX,7400,NO@DEN 11/29/2020 04:05PM ET,NO,10.48
RB,Josh Jacobs (15819830),Josh Jacobs,15819830,RB/FLEX,7200,LV@ATL 11/29/2020 01:00PM ET,LV,17.43
QB,Justin Herbert (15819766),Justin Herbert,15819766,QB,7200,LAC@BUF 11/29/2020 01:00PM ET,LAC,26.74
RB,Nick Chubb (15819832),Nick Chubb,15819832,RB/FLEX,7100,CLE@JAX 11/29/2020 01:00PM ET,CLE,17.2
WR,Calvin Ridley (15820060),Calvin Ridley,15820060,WR/FLEX,7100,LV@ATL 11/29/2020 01:00PM ET,ATL,19.34
TE,Travis Kelce (15820352),Travis Kelce,15820352,TE/FLEX,7000,KC@TB 11/29/2020 04:25PM ET,KC,20.88
RB,Mike Davis (15819834),Mike Davis,15819834,RB/FLEX,6900,CAR@MIN 11/29/2020 01:00PM ET,CAR,13.94
WR,Adam Thielen (15820062),Adam Thielen,15820062,WR/FLEX,6800,CAR@MIN 11/29/2020 01:00PM ET,MIN,19.21
WR,A.J. Brown (15820064),A.J. Brown,15820064,WR/FLEX,6700,TEN@IND 11/29/2020 01:00PM ET,TEN,17.25
QB,Tom Brady (15819767),Tom Brady,15819767,QB,6600,KC@TB 11/29/2020 04:25PM ET,TB,21.46
WR,Julio Jones (15820066),Julio Jones,15820066,WR/FLEX,6500,LV@ATL 11/29/2020 01:00PM ET,ATL,17.46
QB,Cam Newton (15819768),Cam Newton,15819768,QB,6400,ARI@NE 11/29/2020 01:00PM ET,NE,20.3
WR,Cooper Kupp (15820068),Cooper Kupp,15820068,WR/FLEX,6400,SF@LAR 11/29/2020 04:05PM ET,LAR,15.95
RB,Clyde Edwards-Helaire (15819836),Clyde Edwards-Helaire,15819836,RB/FLEX,6400,KC@TB 11/29/2020 04:25PM ET,KC,15.37
RB,James Robinson (15819838),James Robinson,15819838,RB/FLEX,6300,CLE@JAX 11/29/2020 01:00PM ET,JAX,18.41
QB,Teddy Bridgewater (15819769),Teddy Bridgewater,15819769,QB,6300,CAR@MIN 11/29/2020 01:00PM ET,CAR,19.47
WR,Justin Jefferson (15820070),Justin Jefferson,15820070,WR/FLEX,6300,CAR@MIN 11/29/2020 01:00PM ET,MIN,16.78
RB,Joe Mixon (15819840),Joe Mixon,15819840,RB/FLEX,6200,NYG@CIN 11/29/2020 01:00PM ET,CIN,17.27
WR,DJ Moore (15820072),DJ Moore,15820072,WR/FLEX,6200,CAR@MIN 11/29/2020 01:00PM ET,CAR,14.94
QB,Taysom Hill (15819770),Taysom Hill,15819770,QB,6200,NO@DEN 11/29/2020 04:05PM ET,NO,7.09
QB,Philip Rivers (15819771),Philip Rivers,15819771,QB,6100,TEN@IND 11/29/2020 01:00PM ET,IND,16.40
RB,Austin Ekeler (15819844),Austin Ekeler,15819844,RB/FLEX,6100,LAC@BUF 11/29/2020 01:00PM ET,LAC,15.55
QB,Kirk Cousins (15819772),Kirk Cousins,15819772,QB,6100,CAR@MIN 11/29/2020 01:00PM ET,MIN,18.32
WR,Robby Anderson (15820076),Robby Anderson,15820076,WR/FLEX,6100,CAR@MIN 11/29/2020 01:00PM ET,CAR,15.37
RB,Ronald Jones II (15819842),Ronald Jones II,15819842,RB/FLEX,6100,KC@TB 11/29/2020 04:25PM ET,TB,13.98
WR,Mike Evans (15820074),Mike Evans,15820074,WR/FLEX,6100,KC@TB 11/29/2020 04:25PM ET,TB,14.66
TE,Darren Waller (15820354),Darren Waller,15820354,TE/FLEX,6000,LV@ATL 11/29/2020 01:00PM ET,LV,14.39
RB,Alexander Mattison (15819846),Alexander Mattison,15819846,RB/FLEX,6000,CAR@MIN 11/29/2020 01:00PM ET,MIN,5.73
QB,Jared Goff (15819773),Jared Goff,15819773,QB,6000,SF@LAR 11/29/2020 04:05PM ET,LAR,19.93
WR,Chris Godwin (15820078),Chris Godwin,15820078,WR/FLEX,6000,KC@TB 11/29/2020 04:25PM ET,TB,15.07
RB,Jonathan Taylor (15819850),Jonathan Taylor,15819850,RB/FLEX,5900,TEN@IND 11/29/2020 01:00PM ET,IND,12.65
QB,Tua Tagovailoa (15819776),Tua Tagovailoa,15819776,QB,5900,MIA@NYJ 11/29/2020 01:00PM ET,MIA,10.10
WR,DeVante Parker (15820080),DeVante Parker,15820080,WR/FLEX,5900,MIA@NYJ 11/29/2020 01:00PM ET,MIA,12.33
QB,Matt Ryan (15819774),Matt Ryan,15819774,QB,5900,LV@ATL 11/29/2020 01:00PM ET,ATL,19.49
QB,Drew Brees (15819775),Drew Brees,15819775,QB,5900,NO@DEN 11/29/2020 04:05PM ET,NO,19.22
RB,Latavius Murray (15819848),Latavius Murray,15819848,RB/FLEX,5900,NO@DEN 11/29/2020 04:05PM ET,NO,8.17
TE,George Kittle (15820356),George Kittle,15820356,TE/FLEX,5900,SF@LAR 11/29/2020 04:05PM ET,SF,17.35
QB,Ryan Tannehill (15819777),Ryan Tannehill,15819777,QB,5800,TEN@IND 11/29/2020 01:00PM ET,TEN,21.04
RB,Damien Harris (15819852),Damien Harris,15819852,RB/FLEX,5800,ARI@NE 11/29/2020 01:00PM ET,NE,11.3
WR,Christian Kirk (15820082),Christian Kirk,15820082,WR/FLEX,5800,ARI@NE 11/29/2020 01:00PM ET,ARI,13.11
RB,Kalen Ballage (15819854),Kalen Ballage,15819854,RB/FLEX,5800,LAC@BUF 11/29/2020 01:00PM ET,LAC,10.45
