Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Derrick Henry (15958159),Derrick Henry,15958159,RB/FLEX,9500,DET@TEN 12/20/2020 01:00PM ET,TEN,22.16
RB,Dalvin Cook (15958161),Dalvin Cook,15958161,RB/FLEX,9000,CHI@MIN 12/20/2020 01:00PM ET,MIN,26.53
WR,Tyreek Hill (15958383),Tyreek Hill,15958383,WR/FLEX,8800,KC@NO 12/20/2020 04:25PM ET,KC,23.85
WR,DK Metcalf (15958385),DK Metcalf,15958385,WR/FLEX,8600,SEA@WAS 12/20/2020 01:00PM ET,SEA,20.08
WR,Calvin Ridley (15958387),Calvin Ridley,15958387,WR/FLEX,8200,TB@ATL 12/20/2020 01:00PM ET,ATL,19.94
TE,Travis Kelce (15958701),Travis Kelce,15958701,TE/FLEX,8000,KC@NO 12/20/2020 04:25PM ET,KC,22.01
QB,Patrick Mahomes (15958099),Patrick Mahomes,15958099,QB,7900,KC@NO 12/20/2020 04:25PM ET,KC,27.87
WR,DeAndre Hopkins (15958389),DeAndre Hopkins,15958389,WR/FLEX,7900,PHI@ARI 12/20/2020 04:05PM ET,ARI,19.73
WR,A.J. Brown (15958391),A.J. Brown,15958391,WR/FLEX,7600,DET@TEN 12/20/2020 01:00PM ET,TEN,18.43
QB,Lamar Jackson (15958100),Lamar Jackson,15958100,QB,7500,JAX@BAL 12/20/2020 01:00PM ET,BAL,22.84
RB,Alvin Kamara (15958163),Alvin Kamara,15958163,RB/FLEX,7400,KC@NO 12/20/2020 04:25PM ET,NO,23.55
WR,Allen Robinson II (15958393),Allen Robinson II,15958393,WR/FLEX,7400,CHI@MIN 12/20/2020 01:00PM ET,CHI,17.97
QB,Russell Wilson (15958101),Russell Wilson,15958101,QB,7300,SEA@WAS 12/20/2020 01:00PM ET,SEA,26.21
WR,Justin Jefferson (15958395),Justin Jefferson,15958395,WR/FLEX,7300,CHI@MIN 12/20/2020 01:00PM ET,MIN,18
WR,Michael Thomas (15958397),Michael Thomas,15958397,WR/FLEX,7200,KC@NO 12/20/2020 04:25PM ET,NO,12.84
RB,Jonathan Taylor (15958165),Jonathan Taylor,15958165,RB/FLEX,7200,HOU@IND 12/20/2020 01:00PM ET,IND,15.21
WR,Adam Thielen (15958399),Adam Thielen,15958399,WR/FLEX,7100,CHI@MIN 12/20/2020 01:00PM ET,MIN,18.38
RB,James Robinson (15958167),James Robinson,15958167,RB/FLEX,7100,JAX@BAL 12/20/2020 01:00PM ET,JAX,19.16
RB,David Montgomery (15958169),David Montgomery,15958169,RB/FLEX,7000,CHI@MIN 12/20/2020 01:00PM ET,CHI,16.19
WR,Cooper Kupp (15958401),Cooper Kupp,15958401,WR/FLEX,7000,NYJ@LAR 12/20/2020 04:05PM ET,LAR,15.02
QB,Kyler Murray (15958102),Kyler Murray,15958102,QB,7000,PHI@ARI 12/20/2020 04:05PM ET,ARI,26.80
WR,Julio Jones (15958403),Julio Jones,15958403,WR/FLEX,6900,TB@ATL 12/20/2020 01:00PM ET,ATL,17.23
RB,Miles Sanders (15958171),Miles Sanders,15958171,RB/FLEX,6900,PHI@ARI 12/20/2020 04:05PM ET,PHI,15
RB,Chris Carson (15958175),Chris Carson,15958175,RB/FLEX,6800,SEA@WAS 12/20/2020 01:00PM ET,SEA,17.52
QB,Deshaun Watson (15958103),Deshaun Watson,15958103,QB,6800,HOU@IND 12/20/2020 01:00PM ET,HOU,24.72
WR,Robert Woods (15958405),Robert Woods,15958405,WR/FLEX,6800,NYJ@LAR 12/20/2020 04:05PM ET,LAR,16.46
RB,Antonio Gibson (15958173),Antonio Gibson,15958173,RB/FLEX,6700,SEA@WAS 12/20/2020 01:00PM ET,WAS,15.93
