Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (15713483),Christian McCaffrey,15713483,RB/FLEX,8500,CAR@KC 11/08/2020 01:00PM ET,CAR,26.65
WR,DeAndre Hopkins (15713695),DeAndre Hopkins,15713695,WR/FLEX,8200,MIA@ARI 11/08/2020 04:25PM ET,ARI,22.34
RB,Dalvin Cook (15713485),Dalvin Cook,15713485,RB/FLEX,8200,DET@MIN 11/08/2020 01:00PM ET,MIN,28.65
QB,Patrick Mahomes (15713425),Patrick Mahomes,15713425,QB,8100,CAR@KC 11/08/2020 01:00PM ET,KC,27.51
RB,Derrick Henry (15713487),Derrick Henry,15713487,RB/FLEX,7900,CHI@TEN 11/08/2020 01:00PM ET,TEN,22.23
WR,DK Metcalf (15713697),DK Metcalf,15713697,WR/FLEX,7800,SEA@BUF 11/08/2020 01:00PM ET,SEA,22
QB,Kyler Murray (15713426),Kyler Murray,15713426,QB,7800,MIA@ARI 11/08/2020 04:25PM ET,ARI,29.94
QB,Russell Wilson (15713427),Russell Wilson,15713427,QB,7600,SEA@BUF 11/08/2020 01:00PM ET,SEA,32.01
WR,Stefon Diggs (15713699),Stefon Diggs,15713699,WR/FLEX,7400,SEA@BUF 11/08/2020 01:00PM ET,BUF,18.81
TE,Travis Kelce (15713993),Travis Kelce,15713993,TE/FLEX,7200,CAR@KC 11/08/2020 01:00PM ET,KC,18.75
WR,Julio Jones (15713701),Julio Jones,15713701,WR/FLEX,7200,DEN@ATL 11/08/2020 01:00PM ET,ATL,19.57
WR,Tyreek Hill (15713703),Tyreek Hill,15713703,WR/FLEX,7100,CAR@KC 11/08/2020 01:00PM ET,KC,17.76
QB,Deshaun Watson (15713428),Deshaun Watson,15713428,QB,7100,HOU@JAX 11/08/2020 01:00PM ET,HOU,24.5
WR,Keenan Allen (15713707),Keenan Allen,15713707,WR/FLEX,7000,LV@LAC 11/08/2020 04:05PM ET,LAC,18.69
QB,Josh Allen (15713429),Josh Allen,15713429,QB,7000,SEA@BUF 11/08/2020 01:00PM ET,BUF,25.07
WR,Calvin Ridley (15713705),Calvin Ridley,15713705,WR/FLEX,7000,DEN@ATL 11/08/2020 01:00PM ET,ATL,20.01
RB,James Robinson (15713489),James Robinson,15713489,RB/FLEX,7000,HOU@JAX 11/08/2020 01:00PM ET,JAX,20.09
QB,Lamar Jackson (15713430),Lamar Jackson,15713430,QB,6900,BAL@IND 11/08/2020 01:00PM ET,BAL,21.55
WR,Allen Robinson II (15713709),Allen Robinson II,15713709,WR/FLEX,6900,CHI@TEN 11/08/2020 01:00PM ET,CHI,17.12
RB,James Conner (15713491),James Conner,15713491,RB/FLEX,6900,PIT@DAL 11/08/2020 04:25PM ET,PIT,17.04
QB,Justin Herbert (15713431),Justin Herbert,15713431,QB,6800,LV@LAC 11/08/2020 04:05PM ET,LAC,27
WR,Tyler Lockett (15713711),Tyler Lockett,15713711,WR/FLEX,6800,SEA@BUF 11/08/2020 01:00PM ET,SEA,22.07
RB,Chase Edmonds (15713493),Chase Edmonds,15713493,RB/FLEX,6800,MIA@ARI 11/08/2020 04:25PM ET,ARI,11.97
WR,Will Fuller V (15713713),Will Fuller V,15713713,WR/FLEX,6800,HOU@JAX 11/08/2020 01:00PM ET,HOU,17
RB,Mike Davis (15713495),Mike Davis,15713495,RB/FLEX,6700,CAR@KC 11/08/2020 01:00PM ET,CAR,15.05
